i,j
603,309
668,801
682,273
647,1071
494,938
834,764
606,1102
596,1072
658,186
333,1122
453,675
288,1175
139,1114
703,516
226,876
632,1107
695,413
772,1146
827,767
554,709
1155,883
1186,770
415,1022
767,1134
705,373
225,833
409,1109
626,320
596,1186
1037,833
657,126
592,708
493,1183
639,730
388,1128
719,1170
699,306
594,1032
464,1097
180,1164
656,906
687,770
755,1028
700,305
1202,870
468,1055
752,1144
636,1077
540,1135
752,700
430,1026
617,49
620,1105
701,69
553,696
240,1142
85,844
380,993
1265,728
659,965
845,812
514,1178
588,488
720,115
1152,735
446,1011
689,88
712,821
403,1026
1171,778
559,696
478,1052
643,499
450,979
1215,712
654,784
496,1118
639,655
161,1115
732,428
720,718
629,1102
1237,920
545,644
640,355
632,313
707,644
820,880
566,972
443,1035
1236,920
705,794
687,88
688,1143
458,978
587,604
476,1059
180,1151
792,815
744,1031
612,1142
569,1101
587,1031
298,1110
690,383
712,657
743,786
590,1013
633,741
532,629
263,1181
668,95
593,1065
694,451
604,598
366,1019
1080,783
627,622
559,621
642,64
342,1153
485,1144
221,841
565,1092
269,848
1209,898
1090,832
1281,36
321,1012
494,958
473,318
518,1091
680,129
546,574
723,601
751,1181
528,1063
427,337
623,45
633,975
473,334
85,1164
565,657
763,351
627,327
183,853
643,231
775,711
786,1152
805,1088
770,865
642,658
1202,826
480,1164
664,104
887,1159
534,1093
622,63
299,1082
723,1126
638,618
426,1186
490,1029
699,1190
1190,953
1092,840
630,568
668,930
487,1099
135,1163
1153,800
491,1057
697,1196
286,1135
289,832
774,716
375,1056
699,1160
754,1126
699,1184
1076,968
724,382
685,766
629,38
586,650
651,644
522,1142
591,982
543,1101
217,833
166,1150
210,865
281,1188
516,671
675,806
674,1153
726,726
657,1119
620,1075
444,334
576,572
231,862
287,821
375,1152
678,715
610,972
235,1133
863,1143
163,1180
611,684
189,1178
890,865
652,971
171,1197
462,1070
1188,682
257,1178
586,699
225,1183
1184,810
803,732
296,1054
617,734
698,304
528,692
621,570
736,1183
