i,j
826,833
625,906
454,1032
1185,801
699,115
1120,811
623,588
1196,914
656,493
703,760
793,1178
532,1076
640,238
600,350
634,992
192,1131
1117,750
376,1074
681,449
848,809
1250,748
621,490
259,1180
1259,720
583,1114
478,299
766,747
754,336
680,99
362,1153
672,952
635,332
640,56
98,1174
133,1154
833,870
369,1088
663,786
435,1001
785,720
820,735
559,974
1156,773
57,986
753,406
562,934
674,375
788,842
1150,781
665,286
1212,816
677,436
602,453
1189,909
672,470
674,471
649,583
501,1177
1207,750
668,1113
511,1187
1118,808
1249,775
711,432
451,792
495,355
901,1183
632,575
807,905
722,708
638,343
428,1034
445,628
706,682
596,1056
301,1028
686,123
511,939
701,386
606,726
687,1125
645,1040
711,652
730,1160
536,961
858,779
491,322
336,1039
474,1038
670,221
651,409
715,642
645,1039
665,966
566,580
1077,837
459,956
565,556
639,270
594,590
630,438
300,1172
528,1053
770,859
557,709
882,1169
811,1183
1253,658
645,1121
416,1003
500,1020
902,811
680,51
891,802
461,1031
686,295
842,1184
767,900
698,1131
666,785
620,1134
533,1034
283,1072
434,1141
588,596
651,1094
1195,757
441,1152
662,70
1146,760
324,1155
497,1051
602,657
426,1086
533,1123
454,1092
652,746
650,420
763,846
304,1048
1193,822
262,849
656,305
708,750
667,136
706,778
1176,862
371,1129
645,926
708,393
357,1125
1198,727
468,1184
757,666
794,858
602,22
615,906
640,32
869,1196
150,1136
654,776
1141,910
610,920
610,686
566,719
465,846
661,302
510,662
621,744
301,1166
609,931
659,601
630,77
707,78
196,1182
461,1118
732,400
627,918
798,1188
788,1140
654,358
688,1189
630,249
812,829
306,1042
1208,724
1213,765
810,1109
632,1100
413,1183
560,911
120,1164
517,647
765,1053
643,1179
888,821
1169,907
459,1168
222,888
53,992
669,570
672,767
391,1138
297,842
605,559
594,999
659,435
375,1094
501,999
612,374
645,276
109,1145
633,1149
792,1142
786,1106
522,607
747,860
809,1172
638,727
316,1038
736,1056
612,1151
830,1134
420,1179
593,590
627,1083
272,1195
827,1114
644,398
478,980
631,263
821,758
1203,924
600,1105
636,780
828,1148
648,934
645,264
1122,760
878,871
639,220
1192,831
658,957
470,1057
643,1151
809,812
1215,698
678,1136
296,836
587,1032
621,1054
106,1178
630,909
728,1147
763,1188
656,428
775,703
98,1136
612,195
443,631
845,1119
566,475
584,1025
637,696
578,437
808,875
647,792
816,1112
696,510
746,1169
552,1151
1245,656
418,1111
280,1093
517,1111
1086,777
814,1093
612,631
455,1064
601,453
366,1123
539,631
645,197
494,1165
275,844
107,1195
454,854
525,681
638,1049
1228,703
435,1106
746,738
606,604
1141,728
746,731
1236,709
280,1086
355,1126
1191,916
329,1082
439,1180
738,768
374,1109
657,281
811,880
559,607
1160,930
155,1146
1114,818
763,687
693,102
515,1014
677,251
786,1165
1206,818
1178,735
524,1095
243,1172
633,486
581,1007
606,387
606,761
467,815
711,770
800,1182
552,579
618,729
461,640
1204,913
772,1184
718,607
320,1018
606,380
753,693
638,798
419,1007
462,1097
1072,842
1283,19
365,1025
488,940
1070,832
461,808
421,1194
485,1089
566,1015
476,1132
611,405
474,628
453,314
225,862
621,388
810,857
1155,788
681,501
685,936
583,438
711,796
729,1172
440,628
574,1017
795,1136
212,849
289,849
267,1164
1157,944
637,961
612,1042
672,515
183,1157
485,1146
1194,859
1120,745
1108,770
650,719
474,809
764,1032
714,1140
770,1065
739,390
698,1129
634,420
1073,847
881,811
771,645
1198,657
449,1055
689,651
773,855
759,1014
639,989
625,1113
647,485
665,755
173,837
1291,711
1243,915
378,1161
542,955
800,812
686,682
461,782
783,1180
358,1167
1243,760
789,857
551,1191
881,1146
567,1058
448,968
454,649
666,927
1067,786
341,1178
383,1167
620,670
1274,24
205,884
439,347
483,1024
415,321
721,726
481,851
584,733
787,839
824,1155
598,1185
1148,759
601,393
628,742
669,615
584,642
778,840
172,507
222,566
203,344
154,214
120,1071
194,473
471,92
166,102
237,229
272,1061
214,70
308,485
1250,1073
582,190
497,203
190,421
188,217
1170,1015
549,229
454,55
285,385
186,211
384,234
189,521
204,21
385,117
286,513
316,461
218,563
513,160
485,59
1192,1036
1203,1038
1146,1033
231,34
590,251
498,690
217,261
253,1041
286,195
84,1036
15,20
434,147
184,455
147,154
465,37
266,318
228,453
216,307
255,263
380,592
1069,1008
576,85
273,325
1099,1063
1201,1112
177,520
185,294
1293,881
1275,1045
338,211
24,103
203,359
1081,1051
177,440
257,294
251,184
1170,1007
521,117
227,453
229,322
191,361
258,282
413,610
260,465
265,316
1282,1105
609,797
226,239
137,332
222,244
1194,1081
478,186
483,92
365,124
229,434
1163,1116
328,202
601,790
389,526
1175,1056
1274,883
269,306
232,588
135,217
1111,1101
3,693
221,406
443,182
164,111
