i,j
849,275
859,204
715,169
590,170
786,181
598,160
597,161
694,167
570,153
668,180
783,184
550,153
818,191
757,179
754,181
755,174
661,160
633,177
632,314
642,318
754,188
652,189
858,287
810,192
800,186
874,201
732,162
692,167
753,186
766,191
696,170
860,193
867,174
744,182
861,270
789,189
831,186
767,173
557,161
860,183
889,205
697,168
655,169
881,185
642,158
773,185
647,168
870,179
819,176
616,164
880,192
697,174
692,162
835,410
888,192
881,292
780,165
832,293
712,188
802,184
877,203
875,418
810,177
561,165
675,172
834,287
845,396
777,173
779,180
858,186
643,172
551,161
875,286
570,156
769,190
835,399
894,193
653,173
678,161
753,180
700,188
631,156
837,295
748,177
702,188
644,304
756,182
600,165
750,185
605,174
828,397
653,187
867,197
609,175
641,308
611,153
797,174
774,168
711,184
759,161
731,171
645,313
745,170
842,391
824,184
887,421
832,292
702,187
628,337
586,156
695,173
544,158
712,172
877,416
874,416
882,193
687,168
892,202
612,160
730,161
635,320
855,286
633,319
634,333
643,541
590,166
739,167
779,173
866,198
673,161
751,163
884,422
818,176
584,170
814,402
635,172
872,196
766,181
822,194
682,161
610,175
648,154
736,177
580,157
645,173
679,164
690,161
612,159
578,156
874,283
605,167
555,153
877,291
784,174
660,174
817,382
878,292
842,387
674,161
638,335
757,185
801,171
634,168
750,173
679,168
610,176
566,161
847,281
760,176
826,190
677,158
642,189
692,178
829,192
559,164
881,177
736,164
850,395
831,406
764,191
627,333
708,173
840,291
833,389
732,168
829,386
687,162
640,305
888,422
646,178
851,275
866,289
641,157
548,163
656,151
840,411
640,168
691,174
643,176
754,176
613,165
823,407
644,189
845,199
821,179
865,281
886,189
845,382
797,184
701,184
651,153
833,393
574,155
827,383
770,193
852,198
841,184
878,427
720,163
862,187
682,154
877,197
697,185
731,161
883,182
815,407
635,190
602,158
612,164
844,287
625,171
702,179
717,166
864,287
877,415
767,175
864,281
632,333
646,542
742,175
836,170
701,161
633,307
606,175
848,277
555,160
794,184
646,300
699,185
634,332
578,157
640,321
866,186
712,157
767,170
642,324
741,174
888,196
589,166
778,168
827,396
753,174
653,179
852,192
636,176
548,164
716,159
861,279
637,321
883,196
851,196
616,173
552,157
568,152
601,162
825,186
782,166
783,165
670,165
639,545
817,177
847,174
671,168
749,181
802,190
701,178
606,154
795,171
702,185
842,194
653,153
816,186
774,176
611,168
873,287
746,178
641,167
806,170
783,176
662,172
807,169
658,179
559,153
627,157
631,318
641,319
821,393
667,155
668,159
759,165
557,149
559,155
811,400
728,163
884,288
639,174
694,170
835,189
636,546
789,166
638,174
775,164
838,182
631,339
652,170
633,331
847,183
795,173
758,175
825,192
683,178
710,189
735,180
630,337
669,178
755,188
617,172
832,187
899,191
573,167
708,166
560,164
849,397
867,199
869,201
736,156
745,167
639,152
882,177
880,193
577,168
697,158
818,390
666,174
556,154
730,177
804,179
575,167
884,179
565,163
621,157
741,180
636,333
859,198
837,175
841,170
635,551
837,402
691,185
667,158
871,191
833,188
557,153
696,186
613,171
629,173
858,290
652,175
613,161
889,201
689,155
559,151
875,176
661,157
781,170
635,543
847,384
842,193
783,177
644,312
775,189
709,181
854,195
600,163
750,156
881,181
567,163
685,164
721,183
820,386
572,169
812,390
628,330
711,172
765,165
858,288
635,152
684,178
559,167
757,170
645,169
842,185
630,178
700,157
813,406
608,173
629,341
880,177
776,172
871,188
883,288
853,179
808,187
827,193
736,162
629,335
699,161
636,189
797,179
577,166
634,164
724,174
853,273
680,183
647,311
857,172
642,541
811,174
622,164
812,179
803,177
663,166
754,186
899,171
657,154
776,179
780,172
701,167
896,191
579,155
812,193
848,385
753,163
730,188
828,182
654,178
835,407
726,167
838,293
848,196
725,189
891,180
650,167
664,170
726,183
698,185
638,304
691,159
637,173
824,393
891,189
712,181
591,160
816,189
742,172
770,183
843,401
584,174
810,182
680,170
816,187
582,160
812,178
867,281
813,404
706,169
596,167
668,160
687,182
576,170
645,155
680,173
607,171
642,159
887,188
632,330
726,157
846,285
870,180
832,379
846,388
837,381
835,403
573,164
557,158
831,176
702,158
674,180
773,180
639,323
864,196
633,163
777,192
632,318
845,279
847,398
859,179
853,182
734,156
885,179
841,406
856,290
794,175
724,188
682,168
634,171
856,177
839,385
666,153
642,179
620,163
573,162
627,330
645,540
884,178
797,178
745,179
659,166
858,267
847,190
638,167
864,279
575,159
786,173
556,153
616,174
646,309
576,172
631,169
641,315
674,155
647,193
631,164
592,173
647,153
646,304
701,168
869,284
626,319
627,337
694,172
562,167
706,157
718,181
771,168
837,406
564,166
665,167
860,198
598,161
661,178
777,183
627,168
667,171
769,165
748,180
898,170
854,273
878,177
633,314
707,185
707,164
743,157
750,181
673,159
791,176
825,391
706,186
883,175
886,179
858,194
833,173
664,171
707,158
850,269
647,307
646,302
758,161
698,167
846,276
843,409
885,184
683,175
816,406
860,290
848,193
796,174
848,198
860,279
693,172
706,177
652,150
869,184
832,290
876,187
679,156
859,269
769,176
628,163
833,174
798,177
572,164
889,190
763,185
877,290
768,185
836,194
641,175
614,160
842,406
643,549
714,168
632,158
889,196
841,396
722,189
708,185
568,157
836,390
876,197
835,175
751,179
748,166
623,330
749,190
890,185
604,172
866,281
840,400
624,160
675,170
606,157
651,162
622,163
796,170
850,187
890,188
797,180
642,176
642,194
782,190
643,153
790,186
831,293
668,156
686,184
592,168
716,189
874,290
657,174
837,183
631,178
891,205
726,171
879,421
854,178
846,270
648,161
646,192
690,178
843,398
875,198
665,157
888,178
843,402
841,179
793,184
587,159
883,419
685,165
643,311
640,314
632,151
808,182
672,174
631,334
770,192
642,190
628,327
630,320
861,277
730,181
886,195
791,181
637,179
626,159
593,161
863,204
648,544
860,287
673,173
829,390
816,175
627,332
844,181
723,187
638,309
599,160
742,185
640,310
831,295
614,171
835,174
634,325
887,192
637,325
846,405
646,307
801,175
849,181
844,283
633,335
651,174
745,187
862,196
624,173
887,425
626,169
848,287
610,153
558,151
683,174
834,188
816,173
848,191
659,181
848,180
871,287
855,195
642,542
837,193
656,164
846,183
717,183
564,153
838,188
792,187
679,163
602,172
862,182
603,175
738,170
660,196
651,156
572,153
841,171
690,155
714,184
627,163
848,405
817,399
883,418
814,401
888,182
841,294
666,170
809,183
653,164
866,194
761,177
702,171
840,295
581,162
638,315
872,179
838,190
747,158
592,161
701,171
811,182
716,168
864,185
816,191
600,162
818,187
852,176
599,171
710,179
569,151
685,177
605,170
717,185
650,172
856,184
724,175
845,284
854,187
743,186
829,384
743,155
642,309
713,171
794,172
710,175
740,180
658,194
877,421
653,162
814,409
721,159
833,386
737,181
697,167
691,164
612,174
837,380
821,171
798,189
717,161
622,336
879,188
821,378
831,181
821,379
858,174
671,166
566,154
814,396
843,188
684,154
887,427
648,196
862,199
801,180
822,392
727,179
732,187
626,170
743,163
843,178
643,160
788,168
860,278
766,186
652,195
664,163
840,171
773,165
646,163
877,419
667,156
861,283
846,195
607,157
873,204
548,162
882,290
755,166
553,162
865,290
656,150
779,184
647,191
826,378
832,178
755,182
872,184
